"filename", "language", "XML", "Java", "YAML", "comment", "blank", "total"
"c:\Users\26327\Desktop\毕业设计\通讯软件\IM-Server\pom.xml", "XML", 111, 0, 0, 0, 8, 119
"c:\Users\26327\Desktop\毕业设计\通讯软件\IM-Server\src\main\java\com\lxy\ImServerApplication.java", "Java", 0, 9, 0, 0, 5, 14
"c:\Users\26327\Desktop\毕业设计\通讯软件\IM-Server\src\main\java\com\lxy\application\UserService.java", "Java", 0, 27, 0, 92, 30, 149
"c:\Users\26327\Desktop\毕业设计\通讯软件\IM-Server\src\main\java\com\lxy\domain\user\model\ChatRecordInfo.java", "Java", 0, 16, 0, 0, 4, 20
"c:\Users\26327\Desktop\毕业设计\通讯软件\IM-Server\src\main\java\com\lxy\domain\user\model\GroupsInfo.java", "Java", 0, 13, 0, 0, 5, 18
"c:\Users\26327\Desktop\毕业设计\通讯软件\IM-Server\src\main\java\com\lxy\domain\user\model\LuckUserInfo.java", "Java", 0, 13, 0, 3, 5, 21
"c:\Users\26327\Desktop\毕业设计\通讯软件\IM-Server\src\main\java\com\lxy\domain\user\model\TalkBoxInfo.java", "Java", 0, 16, 0, 0, 4, 20
"c:\Users\26327\Desktop\毕业设计\通讯软件\IM-Server\src\main\java\com\lxy\domain\user\model\UserFriendInfo.java", "Java", 0, 12, 0, 0, 2, 14
"c:\Users\26327\Desktop\毕业设计\通讯软件\IM-Server\src\main\java\com\lxy\domain\user\model\UserGroupInfo.java", "Java", 0, 12, 0, 0, 2, 14
"c:\Users\26327\Desktop\毕业设计\通讯软件\IM-Server\src\main\java\com\lxy\domain\user\model\UserInfo.java", "Java", 0, 12, 0, 0, 2, 14
"c:\Users\26327\Desktop\毕业设计\通讯软件\IM-Server\src\main\java\com\lxy\domain\user\service\UserServiceImpl.java", "Java", 0, 271, 0, 3, 53, 327
"c:\Users\26327\Desktop\毕业设计\通讯软件\IM-Server\src\main\java\com\lxy\infrastructure\common\SocketChannelUtil.java", "Java", 0, 50, 0, 3, 18, 71
"c:\Users\26327\Desktop\毕业设计\通讯软件\IM-Server\src\main\java\com\lxy\infrastructure\common\UserOffineMsgCache.java", "Java", 0, 20, 0, 3, 8, 31
"c:\Users\26327\Desktop\毕业设计\通讯软件\IM-Server\src\main\java\com\lxy\infrastructure\dao\ImGroupDao.java", "Java", 0, 10, 0, 6, 8, 24
"c:\Users\26327\Desktop\毕业设计\通讯软件\IM-Server\src\main\java\com\lxy\infrastructure\dao\ImUserDao.java", "Java", 0, 10, 0, 12, 7, 29
"c:\Users\26327\Desktop\毕业设计\通讯软件\IM-Server\src\main\java\com\lxy\infrastructure\dao\ImUserFriendDao.java", "Java", 0, 10, 0, 6, 7, 23
"c:\Users\26327\Desktop\毕业设计\通讯软件\IM-Server\src\main\java\com\lxy\infrastructure\dao\ImUserGroupDao.java", "Java", 0, 11, 0, 6, 8, 25
"c:\Users\26327\Desktop\毕业设计\通讯软件\IM-Server\src\main\java\com\lxy\infrastructure\dao\ImUserMsgDao.java", "Java", 0, 11, 0, 6, 7, 24
"c:\Users\26327\Desktop\毕业设计\通讯软件\IM-Server\src\main\java\com\lxy\infrastructure\dao\ImUserTalkDao.java", "Java", 0, 11, 0, 6, 8, 25
"c:\Users\26327\Desktop\毕业设计\通讯软件\IM-Server\src\main\java\com\lxy\infrastructure\entity\ImGroup.java", "Java", 0, 19, 0, 13, 12, 44
"c:\Users\26327\Desktop\毕业设计\通讯软件\IM-Server\src\main\java\com\lxy\infrastructure\entity\ImUser.java", "Java", 0, 22, 0, 13, 9, 44
"c:\Users\26327\Desktop\毕业设计\通讯软件\IM-Server\src\main\java\com\lxy\infrastructure\entity\ImUserFriend.java", "Java", 0, 28, 0, 11, 11, 50
"c:\Users\26327\Desktop\毕业设计\通讯软件\IM-Server\src\main\java\com\lxy\infrastructure\entity\ImUserGroup.java", "Java", 0, 18, 0, 11, 9, 38
"c:\Users\26327\Desktop\毕业设计\通讯软件\IM-Server\src\main\java\com\lxy\infrastructure\entity\ImUserMsg.java", "Java", 0, 22, 0, 12, 10, 44
"c:\Users\26327\Desktop\毕业设计\通讯软件\IM-Server\src\main\java\com\lxy\infrastructure\entity\ImUserTalk.java", "Java", 0, 19, 0, 12, 9, 40
"c:\Users\26327\Desktop\毕业设计\通讯软件\IM-Server\src\main\java\com\lxy\socket\IMServerChannelInitializer.java", "Java", 0, 40, 0, 0, 5, 45
"c:\Users\26327\Desktop\毕业设计\通讯软件\IM-Server\src\main\java\com\lxy\socket\NettyServer.java", "Java", 0, 57, 0, 1, 18, 76
"c:\Users\26327\Desktop\毕业设计\通讯软件\IM-Server\src\main\java\com\lxy\socket\handler\AbstractBizHandler.java", "Java", 0, 26, 0, 0, 9, 35
"c:\Users\26327\Desktop\毕业设计\通讯软件\IM-Server\src\main\java\com\lxy\socket\handler\impl\LoginHandler.java", "Java", 0, 143, 0, 13, 27, 183
"c:\Users\26327\Desktop\毕业设计\通讯软件\IM-Server\src\main\java\com\lxy\socket\handler\impl\SearchFriendHandler.java", "Java", 0, 42, 0, 0, 9, 51
"c:\Users\26327\Desktop\毕业设计\通讯软件\IM-Server\src\main\java\com\lxy\socket\handler\impl\friend\AddFriendResponseHandler.java", "Java", 0, 40, 0, 5, 11, 56
"c:\Users\26327\Desktop\毕业设计\通讯软件\IM-Server\src\main\java\com\lxy\socket\handler\impl\friend\FriendRequestHandler.java", "Java", 0, 35, 0, 1, 10, 46
"c:\Users\26327\Desktop\毕业设计\通讯软件\IM-Server\src\main\java\com\lxy\socket\handler\impl\group\FullGroupJoinInGroupResponseHandler.java", "Java", 0, 34, 0, 1, 9, 44
"c:\Users\26327\Desktop\毕业设计\通讯软件\IM-Server\src\main\java\com\lxy\socket\handler\impl\group\GroupCreateRequestHandler.java", "Java", 0, 32, 0, 0, 10, 42
"c:\Users\26327\Desktop\毕业设计\通讯软件\IM-Server\src\main\java\com\lxy\socket\handler\impl\group\GroupSearchRequestHandler.java", "Java", 0, 26, 0, 0, 7, 33
"c:\Users\26327\Desktop\毕业设计\通讯软件\IM-Server\src\main\java\com\lxy\socket\handler\impl\group\JoinInGroupRequestHandler.java", "Java", 0, 43, 0, 0, 11, 54
"c:\Users\26327\Desktop\毕业设计\通讯软件\IM-Server\src\main\java\com\lxy\socket\handler\impl\group\MsgGroupRequestHandler.java", "Java", 0, 41, 0, 4, 10, 55
"c:\Users\26327\Desktop\毕业设计\通讯软件\IM-Server\src\main\java\com\lxy\socket\handler\impl\msg\MsgRequestHandler.java", "Java", 0, 43, 0, 2, 10, 55
"c:\Users\26327\Desktop\毕业设计\通讯软件\IM-Server\src\main\java\com\lxy\socket\handler\impl\talk\DelTalkRequestHandler.java", "Java", 0, 21, 0, 0, 5, 26
"c:\Users\26327\Desktop\毕业设计\通讯软件\IM-Server\src\main\java\com\lxy\socket\handler\impl\talk\TalkNoticeRequestHandler.java", "Java", 0, 21, 0, 0, 6, 27
"c:\Users\26327\Desktop\毕业设计\通讯软件\IM-Server\src\main\java\com\lxy\socket\util\GroupIdGenerator.java", "Java", 0, 12, 0, 0, 7, 19
"c:\Users\26327\Desktop\毕业设计\通讯软件\IM-Server\src\main\resources\application.yaml", "YAML", 0, 0, 9, 0, 6, 15
"c:\Users\26327\Desktop\毕业设计\通讯软件\IM-Server\src\main\resources\mapper\ChatRecordMapper.xml", "XML", 15, 0, 0, 1, 4, 20
"c:\Users\26327\Desktop\毕业设计\通讯软件\IM-Server\src\main\resources\mapper\ImGroupMapper.xml", "XML", 10, 0, 0, 1, 5, 16
"c:\Users\26327\Desktop\毕业设计\通讯软件\IM-Server\src\main\resources\mapper\ImUserFriendMapper.xml", "XML", 10, 0, 0, 1, 3, 14
"c:\Users\26327\Desktop\毕业设计\通讯软件\IM-Server\src\main\resources\mapper\ImUserGroupMapper.xml", "XML", 11, 0, 0, 1, 3, 15
"c:\Users\26327\Desktop\毕业设计\通讯软件\IM-Server\src\main\resources\mapper\ImUserMapper.xml", "XML", 10, 0, 0, 1, 3, 14
"c:\Users\26327\Desktop\毕业设计\通讯软件\IM-Server\src\main\resources\mapper\ImUserTalk.xml", "XML", 11, 0, 0, 1, 3, 15
"c:\Users\26327\Desktop\毕业设计\通讯软件\IM-Server\src\test\java\com\lxy\ImServerApplicationTests.java", "Java", 0, 27, 0, 0, 9, 36
"Total", "-", 178, 1345, 9, 251, 451, 2234
