"filename", "language", "XML", "HTML", "Markdown", "Java", "JavaScript", "Less", "CSS", "SCSS", "JSON", "YAML", "comment", "blank", "total"
"c:\Users\26327\Desktop\毕业设计\通讯软件\IM-master\itstack-naive-chat-server\README.md", "Markdown", 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 24, 63
"c:\Users\26327\Desktop\毕业设计\通讯软件\IM-master\itstack-naive-chat-server\itstack-naive-chat-server-agreement\pom.xml", "XML", 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5, 58
"c:\Users\26327\Desktop\毕业设计\通讯软件\IM-master\itstack-naive-chat-server\itstack-naive-chat-server-agreement\src\main\java\org\itstack\naive\chat\codec\ObjDecoder.java", "Java", 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 6, 6, 37
"c:\Users\26327\Desktop\毕业设计\通讯软件\IM-master\itstack-naive-chat-server\itstack-naive-chat-server-agreement\src\main\java\org\itstack\naive\chat\codec\ObjEncoder.java", "Java", 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 5, 5, 25
"c:\Users\26327\Desktop\毕业设计\通讯软件\IM-master\itstack-naive-chat-server\itstack-naive-chat-server-agreement\src\main\java\org\itstack\naive\chat\package-info.java", "Java", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 6, 0, 7
"c:\Users\26327\Desktop\毕业设计\通讯软件\IM-master\itstack-naive-chat-server\itstack-naive-chat-server-agreement\src\main\java\org\itstack\naive\chat\protocol\Command.java", "Java", 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 4, 11, 32
"c:\Users\26327\Desktop\毕业设计\通讯软件\IM-master\itstack-naive-chat-server\itstack-naive-chat-server-agreement\src\main\java\org\itstack\naive\chat\protocol\Packet.java", "Java", 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 12, 9, 61
"c:\Users\26327\Desktop\毕业设计\通讯软件\IM-master\itstack-naive-chat-server\itstack-naive-chat-server-agreement\src\main\java\org\itstack\naive\chat\protocol\friend\AddFriendRequest.java", "Java", 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 7, 12, 47
"c:\Users\26327\Desktop\毕业设计\通讯软件\IM-master\itstack-naive-chat-server\itstack-naive-chat-server-agreement\src\main\java\org\itstack\naive\chat\protocol\friend\AddFriendResponse.java", "Java", 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 7, 13, 57
"c:\Users\26327\Desktop\毕业设计\通讯软件\IM-master\itstack-naive-chat-server\itstack-naive-chat-server-agreement\src\main\java\org\itstack\naive\chat\protocol\friend\SearchFriendRequest.java", "Java", 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 7, 12, 48
"c:\Users\26327\Desktop\毕业设计\通讯软件\IM-master\itstack-naive-chat-server\itstack-naive-chat-server-agreement\src\main\java\org\itstack\naive\chat\protocol\friend\SearchFriendResponse.java", "Java", 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 7, 8, 33
"c:\Users\26327\Desktop\毕业设计\通讯软件\IM-master\itstack-naive-chat-server\itstack-naive-chat-server-agreement\src\main\java\org\itstack\naive\chat\protocol\friend\dto\UserDto.java", "Java", 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 5, 13, 56
"c:\Users\26327\Desktop\毕业设计\通讯软件\IM-master\itstack-naive-chat-server\itstack-naive-chat-server-agreement\src\main\java\org\itstack\naive\chat\protocol\login\LoginRequest.java", "Java", 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 5, 11, 43
"c:\Users\26327\Desktop\毕业设计\通讯软件\IM-master\itstack-naive-chat-server\itstack-naive-chat-server-agreement\src\main\java\org\itstack\naive\chat\protocol\login\LoginResponse.java", "Java", 0, 0, 0, 67, 0, 0, 0, 0, 0, 0, 5, 27, 99
"c:\Users\26327\Desktop\毕业设计\通讯软件\IM-master\itstack-naive-chat-server\itstack-naive-chat-server-agreement\src\main\java\org\itstack\naive\chat\protocol\login\ReconnectRequest.java", "Java", 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 5, 8, 32
"c:\Users\26327\Desktop\毕业设计\通讯软件\IM-master\itstack-naive-chat-server\itstack-naive-chat-server-agreement\src\main\java\org\itstack\naive\chat\protocol\login\dto\ChatRecordDto.java", "Java", 0, 0, 0, 60, 0, 0, 0, 0, 0, 0, 5, 20, 85
