"filename", "language", "XML", "Properties", "Java", "comment", "blank", "total"
"c:\Users\26327\Desktop\毕业设计\通讯软件\IM-protocol-package\.idea\compiler.xml", "XML", 17, 0, 0, 0, 0, 17
"c:\Users\26327\Desktop\毕业设计\通讯软件\IM-protocol-package\.idea\encodings.xml", "XML", 7, 0, 0, 0, 0, 7
"c:\Users\26327\Desktop\毕业设计\通讯软件\IM-protocol-package\.idea\jarRepositories.xml", "XML", 20, 0, 0, 0, 0, 20
"c:\Users\26327\Desktop\毕业设计\通讯软件\IM-protocol-package\.idea\misc.xml", "XML", 14, 0, 0, 0, 0, 14
"c:\Users\26327\Desktop\毕业设计\通讯软件\IM-protocol-package\.idea\modules.xml", "XML", 8, 0, 0, 0, 0, 8
"c:\Users\26327\Desktop\毕业设计\通讯软件\IM-protocol-package\.idea\uiDesigner.xml", "XML", 124, 0, 0, 0, 0, 124
"c:\Users\26327\Desktop\毕业设计\通讯软件\IM-protocol-package\.idea\vcs.xml", "XML", 6, 0, 0, 0, 0, 6
"c:\Users\26327\Desktop\毕业设计\通讯软件\IM-protocol-package\IM-protocol-package.iml", "XML", 8, 0, 0, 0, 0, 8
"c:\Users\26327\Desktop\毕业设计\通讯软件\IM-protocol-package\pom.xml", "XML", 53, 0, 0, 2, 4, 59
"c:\Users\26327\Desktop\毕业设计\通讯软件\IM-protocol-package\src\main\java\com\lxy\protocolpackage\codec\ObjDecoder.java", "Java", 0, 0, 25, 2, 7, 34
"c:\Users\26327\Desktop\毕业设计\通讯软件\IM-protocol-package\src\main\java\com\lxy\protocolpackage\codec\ObjEncoder.java", "Java", 0, 0, 15, 4, 4, 23
"c:\Users\26327\Desktop\毕业设计\通讯软件\IM-protocol-package\src\main\java\com\lxy\protocolpackage\constants\FriendState.java", "Java", 0, 0, 11, 0, 4, 15
"c:\Users\26327\Desktop\毕业设计\通讯软件\IM-protocol-package\src\main\java\com\lxy\protocolpackage\constants\GroupState.java", "Java", 0, 0, 11, 0, 3, 14
"c:\Users\26327\Desktop\毕业设计\通讯软件\IM-protocol-package\src\main\java\com\lxy\protocolpackage\constants\MsgType.java", "Java", 0, 0, 12, 2, 5, 19
"c:\Users\26327\Desktop\毕业设计\通讯软件\IM-protocol-package\src\main\java\com\lxy\protocolpackage\constants\TalkType.java", "Java", 0, 0, 13, 2, 7, 22
"c:\Users\26327\Desktop\毕业设计\通讯软件\IM-protocol-package\src\main\java\com\lxy\protocolpackage\protocol\Command.java", "Java", 0, 0, 27, 0, 17, 44
"c:\Users\26327\Desktop\毕业设计\通讯软件\IM-protocol-package\src\main\java\com\lxy\protocolpackage\protocol\Packet.java", "Java", 0, 0, 42, 16, 20, 78
